abbrev.	abbreviation (of)
irreg.	irregular 
It.	Italian
J. (J.)	(quoted from) Johnson's Dictionary
(Jam.)	Jamieson Scottish Dict.
Jap.	Japanese
joc.	jocular 
Jrnl.	Journal
Jun.	Junior
K
Knowl.	Knowledge
L
l.	line
L.	Latin
lang.	language
Lect.	Lecture 
Less.	Lesson 
Let. Lett.	letter letters
LG.	Low German
lit.	literal 
Lit.	Literary
Lith.	Lithuanian
LXX	Septuagint
M
m.	masculine
Mag.	Magazine
Magn.	Magnetic -ism
Mal.	Malay Malayan
Man.	Manual
Managem.	Management
Manch.	Manchester
Manuf.	in Manufacture -ing
Mar.	Marine
masc. (rarely m.)	masculine
Math.	(as label) in Mathematics; Mathematics 
MDu.	Middle Dutch
ME.	Middle English
Mech.	(as label) in Mechanics; Mechanics - al
Med.	(as label) in Medicine; Medicine - ical
med.L.	medieval Latin
Mem.	Memoir 
Mataph.	in Metaphysics
Meteorol.	(as label) in Meteorology; Meteorology -ical
MHG.	Middle High German
midl.	midland (dialect)
Mil.	in military usage
Min.	(as label) in Mineralogy; Mineralogy - ical
Mineral.	Mineralogy -ical
MLG.	Middle Low German
Mics.	Miscellany -eous
mod.	modern
mod.L.	modern Latin
(Morris)	(quoted from) E. E. Morris's Austral English
Mus.	(as label) in Music; Music ; Museum
Myst.	Mystery
Mythol.	in Mythology
N
N.	North
n.	neuter
N.Amer.	North America 
N.&Q.	Notes and Queries
Narr.	Narrative
Nat.	Natural
Nat. Hist.	in Natural History
Naut.	in nautical language
N.E.	North East
N.E.D.	New English Dictionary original title of the Oxford English
Dictionary (first edition) Neurol.	in Neurology
neut. (rarely n.)	neuter
NF. NFr.	Northern French
No.	Number
nom.	nominative
north.	northern dialect
Norw.	Norwegian
n.q.	no quotations
N.T.	New Testament
Nucl.	Nuclear
Numism.	in Numismatics
N.W.	North West
N.Z.	New Zealand
O
obj.	object
obl.	oblique
Obs. obs.	obsolete
Obstetr.	Obstetric
occas.	occasionally
OE.	Old English (= Angloaxon)
OF. OFr.	Old French
OFris.	Old Frisian
OHG.	Old High German
OIr.	Old Irish
ON.	Old Norse
ONF.	Old Northern French
Ophthalm.	in Ophthalmology
opp.	opposed (to) the opposite (of)
Opt.	in Optics
Org.	Organic
orig.	origin  ly
Ornith.	(as label) in Ornithology; Ornithology -ical
OS.	Old Saxon
OSl.	Old (Church) Slavonic
O.T.	Old Testament
Outl.	Outline
Oxf.	Oxford
p.	page
Palaeogr.	in Palaeography
Palaeont. in Palaeontology; Palaeontology -ical pa. pple.	passive participle past participle
(Partridge)	(quoted from) E. Partridge's Dictionary of Slang and
Unconventional English pass.	passive 
pa.t.	past tense
Path.	(as label) in Pathology; Pathology - ical
perh. perhaps Pers.	Persian
pers.	person 
Petrogr.	in Petrography
Petrol.	(as label) in Petrology; Petrology - ical
(Pettman)	(quoted from) C. Pettman's Africanderisms
pf.	perfect
Pg.	Portuguese
Pharm.	in Pharmacology
Philol.	(as label) in Philology; Philology - ical
Philos.	(as label) in Philosophy; Philosophy - ic
phonet.	phonetic ly
Photogr.	(as label) in Photography; Photography -ical
phr.	phrase
Phys.	physical; (rarely) in Physiology
Physiol.	(as label) in Physiology; Physiology -ical
Pict.	Picture Pictorial
pl. plur.	plural
poet.	poetic 
Pol.	Polish
Pol.	(as label) in Politics; Politics - al
Pol. Econ.	in Political Economy
Polit.	Politics 
pop.	popular 
Porc.	Porcelain
poss.	possessive
Pott.	Pottery
ppl. a. pple. adj.	participial adjective
pple.	participle
Pr.	Provencal
pr.	present
Pract.	Practice 
prec.	preceding (word or article)
pred.	predicative
pref.	prefix
pref. Pref.	preface
prep.	preposition
pres.	present
Princ.	Principle 
priv.	privative
prob.	probably
Probl.	Problem
Proc.	Proceedings
pron.	pronoun
pronunc.	pronunciation
prop.	properly
Pros.	in Prosody
Prov.	Provencal
pr. pple.	present participle
Psych.	in Psychology
Psychol.	(as label) in Psychology; Psychology -ical
Publ.	Publications
Q.	Quarterly
quot(s).	quotation(s)
q.v.	quod vide 'which see'
R.	Royal
Radiol.	in Radiology
R.C.Ch.	Roman Catholic Church
Rec.	Record
redupl.	reduplicating
Ref.	Reference
refash.	refashioned -ing
refl.	reflexive
Reg.	Register
reg.	regular
rel	related to
Reminisc.	Reminiscence 
Rep.	Report 
repr.	representative representing
Res.	Research
Rev.	Review
rev.	revised
Rhet.	in Rhetoric
Rom.	Roman -ce -ic
Rum.	Rumanian
Russ.	Russian
S.	South
S.Afr.	South Africa 
sb.	substantive
sc.	scilicet 'understand' or 'supply'
Sc. Scot.	Scottish
Scand.	Scandinavia 
Sch.	School
Sc. Nat. Dict.	Scottish National Dictionary
Scotl.	Scotland
Sel.	Selection 
Ser.	Series
sing.	singular
Sk.	Sketch
Skr.	Sanskrit
Slav.	Slavonic
S.N.D.	Scottish National Dictionary
Soc.	Society
Sociol.	(as label) in Sociology; Sociology - ical
Sp.	Spanish
Sp.	Speech -es
sp.	spelling
spec.	specifically
Spec.	Specimen
St.	Saint
Stand.	Standard
Stanf.	(quoted from) Stanford Dictionary of Anglicised Words & Phrases
str.	strong
Struct.	Structure 
Stud.	Studies
subj.	subject
subord. cl.	subordinate clause
subseq.	subsequent 
subst.	substantively
suff.	suffix
superl.	superlative
Suppl.	Supplement
Surg.	(as label) in Surgery; Surgery Surgical
s.v.	sub voce 'under the word'
Sw.	Swedish
s.w.	south-western (dialect)
Syd. Soc. Lex.	Sydenham Society Lexicon of Medicine & Allied Sciences
syll.	syllable
Syr.	Syrian
Syst.	System -atic
Taxon.	Taxonomy -ical
techn.	technical 
Technol.	Technology -ical
Telegr.	in Telegraphy
Teleph.	in Telephony
(Th.)	(quoted from) Thornton's American Glossary
Theatr.	in the Theatre theatrical
Theol.	(as label) in Theology; Theology - ical
Theoret.	Theoretical
Tokh.	Tokharian
tr. transl.	translated translation
Trans.	Transactions
trans.	transitive
transf.	transferred sense
Trav.	Travel(s)
Treas.	Treasury
Treat.	Treatise
Treatm.	Treatment
Trig.	in Trigonometry
Trop.	Tropical
Turk.	Turkish
Typog. Typogr.	in Typography
ult.	ultimately
Univ.	University
unkn.	unknown
U.S.	United States
U.S.S.R.	Union of Soviet Socialist Republics
usu.	usually
v. vb.	verb
var(r). vars.	variant(s) of
vbl. sb.	verbal substantive
Vertebr.	Vertebrate 
Vet.	(as label) in Veterinary Science; Veterinary
Vet. Sci.	in Veterinary Science
viz.	videlicet 'namely'
Voy.	Voyage 
v.str.	strong verb
vulg.	vulgar
v.w.	weak verb
W.	Welsh; West
wd.	word
1Westm.	Westminster
WGmc.	West_Germanic
Wks.	Works
w.midl.	west_midland
WS.	West_Saxon
Yrs.	Years
Zoogeogr.	Zoogeography
Zool.	Zoology
